"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-20670391.0614525","-28491620.1117318","-56983240.2234637","-66480446.9273743","-81005586.5921788","69301675.9776536","30389944.1340782","-80477653.6312849","-149871508.379888","-69895530.726257","-210034078.21229","-292775977.653631","-263741899.441341","-228907821.22905","-299290502.793296","-368733519.553073","-393984357.541899","-272978212.290503","-239905027.932961","-176690502.793296","-3787709.4972067","41803910.6145251","39987709.4972067","-23194972.0670386","38222346.3687151","-346685307.26257","20679385.4748603","",
"","AFE","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","-15555546.6666667","-19999991.1111111","-24444431.1111111","-57777795.5555556","-73333306.6666667","-102222208.888889","-139999993.333333","-124444444.444444","-86666671.1111111","-68888895.5555556","-37777795.5555556","-95555560","-53333333.3333333","-31111124.4444444","-17777777.7777778","-37777771.1111111","-42222228.8888889","-93333344.4444444","-100000017.777778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2448972993.08063","39505760.4934053","1355587407.42635","844580139.963827","3104342474.66337","9043664094.51982","16924606565.8978","18112408604.981","20882153242.4052","-3467217402.81405","15492340985.276","23372792966.6738","25099845604.8507","19586338954.1602","13802860085.7547","-2947419425.42749","1434814452.97795","3966883886.98189","11898093495.1415","16462280427.1373","10400331018.8527","18926023490.3461","",
"Albania","ALB","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","-37797203.1333248","-43519825.5618371","-8912475","-2074975","-60287525","-64875012.5","-175000000","-232016659.722222","-546433224.269483","-575597170.361298","-548018719.836545","-534278929.852477","-692875125.499704","-565335446.489434","-641664593.807886","-556580521.361332","-808260374.423643","-934409230.126688","-1158057359.45381","-1421155653.36692","-1624605875.48919","-2000648451.71906","-2121524825.86169","-2851523673.45529","-3458245892.09987","-2964490564.06327","-2455100574.06753","-2930778112.74005","-2295828841.25064","-2304969346.15111","-2510946150.92909","-1966079574.47371","-1999094266.66935","-1960074591.2878","-2071015509.27176","-2105530487.85854","-2200742017.48734","-2402634867.65842","-1959667494.58164",
"Andorra","AND","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8733832539.14227","6517631041.52485","11870388019.0606","15540550034.0368","28208386657.5902","39503262083.0497","20556024506.467","29093805309.7345","14819060585.4323","59717358747.4472","99894894486.0449","135765282505.106","139735057862.491","123478284547.311","94976174268.2097","90183798502.3826","93260721579.3056","111327433628.319","108446482722.941","88351313900.6127","","",
"Argentina","ARG","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","-1147183292.05851","396.482125076288","391.765795402346","588235263.814804","476190458.735397","606060620.255356","285714230.396195","0","273421120.491353","-199999955.329714","125000067.999476","1000000034.35845","444444349.714867","-81081003.1574088","1665000247.33942","1300000007.90071","2576185988.06293","125448026.281332","-1094188525.3183","-354736981.078791","2166280922.49493","3447293429.57181","3312681835.98665","4815481323.80872","1945851942.05214","323648994.737207","4212460577.20916","4964855540.62555","8096981411.08916","3029889879.39171","-3510855354.69435","-5692332332.33233","-7914860000","-1059485000","-1767000000","-6485300000","-7530100000","-4900400000","-1846455600","3508536600","14670786469.0802","14311606659.1997","11530324282.1261","11805942344.4323","13069507211.5385","12594785132.7093","13446803975.2178","16864736858.9573","12270934023.3519","8971672206.31796","10642160447.0661","-549718918.473333","2127192190.98412","-6393090842.80549","-5796649625.96818","-17049937741.2364","-9914710977.84628","14413857877.8198","11573710633.0998","15050329403.8568","9363392139.15852",
