Year,China,Alemania,España,India,Japón,Estados Unidos
1970-01-01,92602638697.4156,215838448137.658,40992995008.3195,62422483000.5672,212609187707.426,1073303000000.0
1971-01-01,99800597892.565,249985055484.303,46619420359.2814,67351407965.1281,240151811888.737,1164850000000.0
1972-01-01,113689285303.377,299801542047.476,59132415221.3306,71463193831.0092,318031297493.401,1279110000000.0
1973-01-01,138543203562.724,398374021953.897,78639525985.1513,85515269585.4,432082723461.096,1425376000000.0
1974-01-01,144188964286.502,445303484241.554,97274006345.5437,99525899116.054,479625998614.637,1545243000000.0
1975-01-01,163429496442.805,490636517211.225,114777046376.812,98472796456.884,521541905674.715,1684904000000.0
1976-01-01,153939238114.518,519754453161.411,118507184779.905,102717164466.397,586161859001.318,1873412000000.0
1977-01-01,174935897086.309,600498238019.035,132449277108.434,121486645611.522,721411786538.606,2081826000000.0
1978-01-01,149540752829.268,740469983446.933,160599687500.0,137300295313.3,1013612334075.2,2351599000000.0
1979-01-01,178280594413.043,881345176608.686,214601955875.062,152991653793.77,1055012119529.54,2627333000000.0
1980-01-01,191149211575.0,950290856466.538,232766822928.754,186325345086.661,1105385811262.73,2857307000000.0
1981-01-01,195866382432.54,800472055387.278,202807891511.984,193491373249.4,1218988750886.49,3207041000000.0
1982-01-01,205089699858.779,776576439106.956,195996754505.528,200715633588.789,1134518153718.18,3343789000000.0
1983-01-01,230686747153.257,770684323247.798,170951185614.849,218262154670.612,1243323766554.87,3634038000000.0
1984-01-01,259946510957.143,725111123634.115,172102910370.524,212157639237.202,1318381627007.46,4037613000000.0
1985-01-01,309488028132.653,732534887058.198,180793463796.477,232511561180.057,1398892549340.87,4338979000000.0
1986-01-01,300758100107.246,1046259374943.71,251321075204.942,248985994042.212,2078952922458.31,4579631000000.0
1987-01-01,272972974764.574,1298176105549.51,318747935588.196,279033584092.223,2532808573157.03,4855215000000.0
1988-01-01,312353631207.819,1401233225303.49,376160409941.437,296589677725.074,3071683812149.66,5236438000000.0
1989-01-01,347768051311.741,1398967436804.33,414757056921.996,296042058867.01,3054913797217.03,5641580000000.0
1990-01-01,360857912565.966,1771671206875.68,536558591250.408,320979026420.035,3132817652848.04,5963144000000.0
1991-01-01,383373318083.624,1868945197407.19,577166174539.632,270105341879.226,3584420964070.07,6158129000000.0
1992-01-01,426915712715.856,2131571696931.75,630916018202.503,288208066640.584,3908808434705.26,6520327000000.0
1993-01-01,444731282435.515,2071323790370.28,525075636030.854,279295644530.09,4454144444407.9,6858559000000.0
1994-01-01,564321876346.387,2205074123177.05,530562634455.347,327275583539.559,4998797262443.29,7287236000000.0
1995-01-01,734484863889.36,2585792275146.72,614609020549.773,360281907854.994,5545564892181.15,7639749000000.0
1996-01-01,863749314718.538,2497244606186.64,642588992512.807,392896860670.885,4923393495138.77,8073122000000.0
1997-01-01,961602019650.615,2211989623279.95,590077272727.273,415867567334.185,4492449998031.88,8577554457000.0
1998-01-01,1029060706187.88,2238990774702.68,619214834614.099,421351318896.874,4098362688659.34,9062818202000.0
1999-01-01,1094010482677.39,2194945278872.59,634907542858.302,458820417337.807,4635982020564.97,9631174489000.0
2000-01-01,1211331627479.0,1947981991011.77,598363313494.903,468394937262.37,4968359152795.66,10250947997000.0
2001-01-01,1339400843164.88,1945790973803.15,627830029412.205,485441014538.638,4374709984220.01,10581929774000.0
2002-01-01,1470557565965.51,2078484517474.51,708756677088.629,514937948870.08,4182845406488.62,10929112955000.0
2003-01-01,1660280610709.71,2501640388482.35,907491523174.116,607699285433.872,4519563042183.73,11456442041000.0
2004-01-01,1955346808095.44,2814353869359.08,1069055675273.75,709148514804.659,4893116005656.56,12217193198000.0
2005-01-01,2285961242869.55,2846864211175.1,1153715822717.51,820381595512.902,4831466523975.98,13039199193000.0
2006-01-01,2752118542130.4,2994703642023.53,1260398977831.76,940259888792.141,4601662661030.07,13815586948000.0
2007-01-01,3550327569655.47,3425578382921.58,1474002579820.0,1216736448906.29,4579749785984.82,14474226905000.0
2008-01-01,4594336785737.67,3745264093617.19,1631863493552.34,1198895147694.77,5106679413137.57,14769857911000.0
2009-01-01,5101691085625.95,3411261212652.34,1491472923706.64,1341888016988.57,5289493734900.39,14478064934000.0
2010-01-01,6087191720866.69,3399667820000.09,1422108199783.37,1675615502766.2,5759071769013.11,15048964444000.0
2011-01-01,7551545321799.88,3749314991050.62,1480710495710.13,1823051829894.55,6233147172341.35,15599728123000.0
2012-01-01,8532185615746.62,3527143188785.16,1324750738725.0,1827637579584.79,6272362996105.03,16253972230000.0
2013-01-01,9570470577244.86,3733804649549.06,1355579535912.56,1856721494834.64,5212328181166.18,16843190993000.0
2014-01-01,10475624783235.6,3889093051023.45,1371820537888.6,2039126469963.35,4896994405353.29,17550680174000.0
2015-01-01,11061573199439.7,3357585719351.56,1196156971279.69,2103588347241.77,4444930651964.18,18206020741000.0
2016-01-01,11233314018690.1,3469853463945.63,1233554967011.71,2294796889945.04,5003677627544.24,18695110842000.0
2017-01-01,12310491176727.3,3690849152517.69,1313245330197.66,2651474263257.15,4930837369151.42,19477336549000.0
2018-01-01,13894907485398.9,3974443355019.53,1421702715218.01,2702929639861.5,5040880939324.86,20533057312000.0
2019-01-01,14279968485748.0,3888226035921.49,1394320055129.38,2835606242052.48,5117993853016.51,21380976119000.0
2020-01-01,14687743556969.6,3889668895299.56,1276962685648.23,2671595389575.7,5048789595589.43,21060473613000.0
2021-01-01,17820459342451.2,4259934911821.64,1427380681294.55,3150306834279.65,5005536736792.29,23315080560000.0
2022-01-01,17963170521079.8,4072191736089.51,1397509272054.48,3385089881935.39,4231141201863.17,25462700000000.0
