Year,China,Alemania,España,India,Japón,Estados Unidos
1991-01-01,2.37,5.32,15.93,6.737,2.1,6.8
1992-01-01,2.37,6.32,17.7,6.815,2.2,7.5
1993-01-01,2.69,7.68,22.16,6.798,2.5,6.9
1994-01-01,2.9,8.73,24.21,6.83,2.9,6.12
1995-01-01,3.0,8.16,22.68,7.014,3.2,5.65
1996-01-01,3.12,8.82,22.14,7.181,3.4,5.45
1997-01-01,3.23,9.86,20.7,7.279,3.4,5.0
1998-01-01,3.24,9.79,18.67,7.487,4.1,4.51
1999-01-01,3.25,8.85,15.48,7.709,4.7,4.22
2000-01-01,3.26,7.92,13.79,7.77,4.75,3.99
2001-01-01,3.8,7.77,10.35,7.957,5.02,4.73
2002-01-01,4.24,8.48,11.15,8.102,5.39,5.78
2003-01-01,4.58,9.78,11.28,8.36,5.25,5.99
2004-01-01,4.49,10.73,11.09,8.531,4.73,5.53
2005-01-01,4.52,11.17,9.15,8.7,4.45,5.08
2006-01-01,4.43,10.25,8.45,8.625,4.19,4.62
2007-01-01,4.35,8.66,8.23,8.536,3.89,4.62
2008-01-01,4.59,7.52,11.25,8.354,4.0,5.78
2009-01-01,4.72,7.74,17.86,8.384,5.07,9.25
2010-01-01,4.53,6.97,19.86,8.319,5.1,9.63
2011-01-01,4.55,5.82,21.39,8.168,4.55,8.95
2012-01-01,4.58,5.38,24.79,8.095,4.36,8.07
2013-01-01,4.6,5.23,26.09,8.037,4.04,7.37
2014-01-01,4.63,4.98,24.44,7.981,3.59,6.17
2015-01-01,4.65,4.62,22.06,7.915,3.39,5.28
2016-01-01,4.56,4.12,19.64,7.842,3.13,4.87
2017-01-01,4.47,3.75,17.22,7.733,2.82,4.36
2018-01-01,4.31,3.38,15.25,7.65,2.47,3.9
2019-01-01,4.56,3.14,14.1,6.51,2.35,3.67
2020-01-01,5.0,3.86,15.53,10.195,2.8,8.05
2021-01-01,4.55,3.57,14.78,7.713,2.8,5.35
2022-01-01,4.886,2.989,13.009,7.33,2.641,3.611
